POPGROUP.id,POPGROUP.display-label,GEO.id,GEO.id2,GEO.display-label,HC01_VC02,HC02_VC02,HC03_VC02,HC01_VC03,HC02_VC03,HC03_VC03,HC01_VC04,HC02_VC04,HC03_VC04,HC01_VC05,HC02_VC05,HC03_VC05,HC01_VC06,HC02_VC06,HC03_VC06,HC01_VC07,HC02_VC07,HC03_VC07,HC01_VC08,HC02_VC08,HC03_VC08,HC01_VC09,HC02_VC09,HC03_VC09,HC01_VC10,HC02_VC10,HC03_VC10,HC01_VC11,HC02_VC11,HC03_VC11,HC01_VC12,HC02_VC12,HC03_VC12,HC01_VC13,HC02_VC13,HC03_VC13,HC01_VC14,HC02_VC14,HC03_VC14,HC01_VC15,HC02_VC15,HC03_VC15,HC01_VC16,HC02_VC16,HC03_VC16,HC01_VC17,HC02_VC17,HC03_VC17,HC01_VC18,HC02_VC18,HC03_VC18,HC01_VC19,HC02_VC19,HC03_VC19,HC01_VC20,HC02_VC20,HC03_VC20,HC01_VC21,HC02_VC21,HC03_VC21,HC01_VC22,HC02_VC22,HC03_VC22,HC01_VC23,HC02_VC23,HC03_VC23,HC01_VC24,HC02_VC24,HC03_VC24,HC01_VC25,HC02_VC25,HC03_VC25,HC01_VC26,HC02_VC26,HC03_VC26,HC01_VC27,HC02_VC27,HC03_VC27,HC01_VC28,HC02_VC28,HC03_VC28,HC01_VC29,HC02_VC29,HC03_VC29,HC01_VC30,HC02_VC30,HC03_VC30,HC01_VC31,HC02_VC31,HC03_VC31,HC01_VC32,HC02_VC32,HC03_VC32,HC01_VC35,HC02_VC35,HC03_VC35,HC01_VC36,HC02_VC36,HC03_VC36,HC01_VC37,HC02_VC37,HC03_VC37,HC01_VC38,HC02_VC38,HC03_VC38,HC01_VC40,HC02_VC40,HC03_VC40,HC01_VC41,HC02_VC41,HC03_VC41,HC01_VC42,HC02_VC42,HC03_VC42,HC01_VC43,HC02_VC43,HC03_VC43
Id,Population Group,Id,Id2,Geography,Both sexes; EDUCATIONAL ATTAINMENT (highest level) - Population 18 to 24 years,Male; EDUCATIONAL ATTAINMENT (highest level) - Population 18 to 24 years,Female; EDUCATIONAL ATTAINMENT (highest level) - Population 18 to 24 years,Both sexes; EDUCATIONAL ATTAINMENT (highest level) - Population 18 to 24 years - Less than high school graduate,Male; EDUCATIONAL ATTAINMENT (highest level) - Population 18 to 24 years - Less than high school graduate,Female; EDUCATIONAL ATTAINMENT (highest level) - Population 18 to 24 years - Less than high school graduate,Both sexes; EDUCATIONAL ATTAINMENT (highest level) - Population 18 to 24 years - High school graduate (incl. equivalency),Male; EDUCATIONAL ATTAINMENT (highest level) - Population 18 to 24 years - High school graduate (incl. equivalency),Female; EDUCATIONAL ATTAINMENT (highest level) - Population 18 to 24 years - High school graduate (incl. equivalency),Both sexes; EDUCATIONAL ATTAINMENT (highest level) - Population 18 to 24 years - Some college or associate degree,Male; EDUCATIONAL ATTAINMENT (highest level) - Population 18 to 24 years - Some college or associate degree,Female; EDUCATIONAL ATTAINMENT (highest level) - Population 18 to 24 years - Some college or associate degree,Both sexes; EDUCATIONAL ATTAINMENT (highest level) - Population 18 to 24 years - Bachelor's degree or higher,Male; EDUCATIONAL ATTAINMENT (highest level) - Population 18 to 24 years - Bachelor's degree or higher,Female; EDUCATIONAL ATTAINMENT (highest level) - Population 18 to 24 years - Bachelor's degree or higher,Both sexes; EDUCATIONAL ATTAINMENT (highest level) - Population 25 years and over,Male; EDUCATIONAL ATTAINMENT (highest level) - Population 25 years and over,Female; EDUCATIONAL ATTAINMENT (highest level) - Population 25 years and over,Both sexes; EDUCATIONAL ATTAINMENT (highest level) - Population 25 years and over - Less than 5th grade,Male; EDUCATIONAL ATTAINMENT (highest level) - Population 25 years and over - Less than 5th grade,Female; EDUCATIONAL ATTAINMENT (highest level) - Population 25 years and over - Less than 5th grade,Both sexes; EDUCATIONAL ATTAINMENT (highest level) - Population 25 years and over - 5th to 8th grade,Male; EDUCATIONAL ATTAINMENT (highest level) - Population 25 years and over - 5th to 8th grade,Female; EDUCATIONAL ATTAINMENT (highest level) - Population 25 years and over - 5th to 8th grade,"Both sexes; EDUCATIONAL ATTAINMENT (highest level) - Population 25 years and over - 9th to 12th grade, no diploma","Male; EDUCATIONAL ATTAINMENT (highest level) - Population 25 years and over - 9th to 12th grade, no diploma","Female; EDUCATIONAL ATTAINMENT (highest level) - Population 25 years and over - 9th to 12th grade, no diploma",Both sexes; EDUCATIONAL ATTAINMENT (highest level) - Population 25 years and over - High school graduate (incl. equivalency),Male; EDUCATIONAL ATTAINMENT (highest level) - Population 25 years and over - High school graduate (incl. equivalency),Female; EDUCATIONAL ATTAINMENT (highest level) - Population 25 years and over - High school graduate (incl. equivalency),"Both sexes; EDUCATIONAL ATTAINMENT (highest level) - Population 25 years and over - Some college credit, less than 1 year","Male; EDUCATIONAL ATTAINMENT (highest level) - Population 25 years and over - Some college credit, less than 1 year","Female; EDUCATIONAL ATTAINMENT (highest level) - Population 25 years and over - Some college credit, less than 1 year","Both sexes; EDUCATIONAL ATTAINMENT (highest level) - Population 25 years and over - 1 or more years of college, no degree","Male; EDUCATIONAL ATTAINMENT (highest level) - Population 25 years and over - 1 or more years of college, no degree","Female; EDUCATIONAL ATTAINMENT (highest level) - Population 25 years and over - 1 or more years of college, no degree",Both sexes; EDUCATIONAL ATTAINMENT (highest level) - Population 25 years and over - Associate degree,Male; EDUCATIONAL ATTAINMENT (highest level) - Population 25 years and over - Associate degree,Female; EDUCATIONAL ATTAINMENT (highest level) - Population 25 years and over - Associate degree,Both sexes; EDUCATIONAL ATTAINMENT (highest level) - Population 25 years and over - Bachelor's degree,Male; EDUCATIONAL ATTAINMENT (highest level) - Population 25 years and over - Bachelor's degree,Female; EDUCATIONAL ATTAINMENT (highest level) - Population 25 years and over - Bachelor's degree,Both sexes; EDUCATIONAL ATTAINMENT (highest level) - Population 25 years and over - Master's degree,Male; EDUCATIONAL ATTAINMENT (highest level) - Population 25 years and over - Master's degree,Female; EDUCATIONAL ATTAINMENT (highest level) - Population 25 years and over - Master's degree,Both sexes; EDUCATIONAL ATTAINMENT (highest level) - Population 25 years and over - Professional degree,Male; EDUCATIONAL ATTAINMENT (highest level) - Population 25 years and over - Professional degree,Female; EDUCATIONAL ATTAINMENT (highest level) - Population 25 years and over - Professional degree,Both sexes; EDUCATIONAL ATTAINMENT (highest level) - Population 25 years and over - Doctorate degree,Male; EDUCATIONAL ATTAINMENT (highest level) - Population 25 years and over - Doctorate degree,Female; EDUCATIONAL ATTAINMENT (highest level) - Population 25 years and over - Doctorate degree,Both sexes; EDUCATIONAL ATTAINMENT (highest level) - Percent of population 25 years and over,Male; EDUCATIONAL ATTAINMENT (highest level) - Percent of population 25 years and over,Female; EDUCATIONAL ATTAINMENT (highest level) - Percent of population 25 years and over,Both sexes; EDUCATIONAL ATTAINMENT (highest level) - Percent of population 25 years and over - Less than 5th grade,Male; EDUCATIONAL ATTAINMENT (highest level) - Percent of population 25 years and over - Less than 5th grade,Female; EDUCATIONAL ATTAINMENT (highest level) - Percent of population 25 years and over - Less than 5th grade,Both sexes; EDUCATIONAL ATTAINMENT (highest level) - Percent of population 25 years and over - 5th to 8th grade,Male; EDUCATIONAL ATTAINMENT (highest level) - Percent of population 25 years and over - 5th to 8th grade,Female; EDUCATIONAL ATTAINMENT (highest level) - Percent of population 25 years and over - 5th to 8th grade,"Both sexes; EDUCATIONAL ATTAINMENT (highest level) - Percent of population 25 years and over - 9th to 12th grade, no diploma","Male; EDUCATIONAL ATTAINMENT (highest level) - Percent of population 25 years and over - 9th to 12th grade, no diploma","Female; EDUCATIONAL ATTAINMENT (highest level) - Percent of population 25 years and over - 9th to 12th grade, no diploma",Both sexes; EDUCATIONAL ATTAINMENT (highest level) - Percent of population 25 years and over - High school graduate (incl. equivalency),Male; EDUCATIONAL ATTAINMENT (highest level) - Percent of population 25 years and over - High school graduate (incl. equivalency),Female; EDUCATIONAL ATTAINMENT (highest level) - Percent of population 25 years and over - High school graduate (incl. equivalency),"Both sexes; EDUCATIONAL ATTAINMENT (highest level) - Percent of population 25 years and over - Some college credit, less than 1 year","Male; EDUCATIONAL ATTAINMENT (highest level) - Percent of population 25 years and over - Some college credit, less than 1 year","Female; EDUCATIONAL ATTAINMENT (highest level) - Percent of population 25 years and over - Some college credit, less than 1 year","Both sexes; EDUCATIONAL ATTAINMENT (highest level) - Percent of population 25 years and over - 1 or more years of college, no degree","Male; EDUCATIONAL ATTAINMENT (highest level) - Percent of population 25 years and over - 1 or more years of college, no degree","Female; EDUCATIONAL ATTAINMENT (highest level) - Percent of population 25 years and over - 1 or more years of college, no degree",Both sexes; EDUCATIONAL ATTAINMENT (highest level) - Percent of population 25 years and over - Associate degree,Male; EDUCATIONAL ATTAINMENT (highest level) - Percent of population 25 years and over - Associate degree,Female; EDUCATIONAL ATTAINMENT (highest level) - Percent of population 25 years and over - Associate degree,Both sexes; EDUCATIONAL ATTAINMENT (highest level) - Percent of population 25 years and over - Bachelor's degree,Male; EDUCATIONAL ATTAINMENT (highest level) - Percent of population 25 years and over - Bachelor's degree,Female; EDUCATIONAL ATTAINMENT (highest level) - Percent of population 25 years and over - Bachelor's degree,Both sexes; EDUCATIONAL ATTAINMENT (highest level) - Percent of population 25 years and over - Master's degree,Male; EDUCATIONAL ATTAINMENT (highest level) - Percent of population 25 years and over - Master's degree,Female; EDUCATIONAL ATTAINMENT (highest level) - Percent of population 25 years and over - Master's degree,Both sexes; EDUCATIONAL ATTAINMENT (highest level) - Percent of population 25 years and over - Professional degree,Male; EDUCATIONAL ATTAINMENT (highest level) - Percent of population 25 years and over - Professional degree,Female; EDUCATIONAL ATTAINMENT (highest level) - Percent of population 25 years and over - Professional degree,Both sexes; EDUCATIONAL ATTAINMENT (highest level) - Percent of population 25 years and over - Doctorate degree,Male; EDUCATIONAL ATTAINMENT (highest level) - Percent of population 25 years and over - Doctorate degree,Female; EDUCATIONAL ATTAINMENT (highest level) - Percent of population 25 years and over - Doctorate degree,Both sexes; EDUCATIONAL ATTAINMENT (highest level) - Percent of population 25 years and over - Percent high school graduate or higher,Male; EDUCATIONAL ATTAINMENT (highest level) - Percent of population 25 years and over - Percent high school graduate or higher,Female; EDUCATIONAL ATTAINMENT (highest level) - Percent of population 25 years and over - Percent high school graduate or higher,Both sexes; EDUCATIONAL ATTAINMENT (highest level) - Percent of population 25 years and over - Percent bachelor's degree or higher,Male; EDUCATIONAL ATTAINMENT (highest level) - Percent of population 25 years and over - Percent bachelor's degree or higher,Female; EDUCATIONAL ATTAINMENT (highest level) - Percent of population 25 years and over - Percent bachelor's degree or higher,Both sexes; PERCENT OF AGE GROUP - High school graduate or higher - 25 to 34 years,Male; PERCENT OF AGE GROUP - High school graduate or higher - 25 to 34 years,Female; PERCENT OF AGE GROUP - High school graduate or higher - 25 to 34 years,Both sexes; PERCENT OF AGE GROUP - High school graduate or higher - 35 to 44 years,Male; PERCENT OF AGE GROUP - High school graduate or higher - 35 to 44 years,Female; PERCENT OF AGE GROUP - High school graduate or higher - 35 to 44 years,Both sexes; PERCENT OF AGE GROUP - High school graduate or higher - 45 to 64 years,Male; PERCENT OF AGE GROUP - High school graduate or higher - 45 to 64 years,Female; PERCENT OF AGE GROUP - High school graduate or higher - 45 to 64 years,Both sexes; PERCENT OF AGE GROUP - High school graduate or higher - 65 years and over,Male; PERCENT OF AGE GROUP - High school graduate or higher - 65 years and over,Female; PERCENT OF AGE GROUP - High school graduate or higher - 65 years and over,Both sexes; PERCENT OF AGE GROUP - Bachelor's degree or higher - 25 to 34 years,Male; PERCENT OF AGE GROUP - Bachelor's degree or higher - 25 to 34 years,Female; PERCENT OF AGE GROUP - Bachelor's degree or higher - 25 to 34 years,Both sexes; PERCENT OF AGE GROUP - Bachelor's degree or higher - 35 to 44 years,Male; PERCENT OF AGE GROUP - Bachelor's degree or higher - 35 to 44 years,Female; PERCENT OF AGE GROUP - Bachelor's degree or higher - 35 to 44 years,Both sexes; PERCENT OF AGE GROUP - Bachelor's degree or higher - 45 to 64 years,Male; PERCENT OF AGE GROUP - Bachelor's degree or higher - 45 to 64 years,Female; PERCENT OF AGE GROUP - Bachelor's degree or higher - 45 to 64 years,Both sexes; PERCENT OF AGE GROUP - Bachelor's degree or higher - 65 years and over,Male; PERCENT OF AGE GROUP - Bachelor's degree or higher - 65 years and over,Female; PERCENT OF AGE GROUP - Bachelor's degree or higher - 65 years and over
001,Total population,0400000US23,23,Maine,104052,52486,51566,21953,12521,9432,35241,18944,16297,40047,18374,21673,6811,2647,4164,869893,413226,456667,6379,3464,2915,40804,20940,19864,80105,40227,39878,314600,148395,166205,55448,25045,30403,109663,52179,57484,63934,26712,37222,129992,60664,69328,46575,21638,24937,15156,9177,5979,7237,4785,2452,100.0,100.0,100.0,0.7,0.8,0.6,4.7,5.1,4.3,9.2,9.7,8.7,36.2,35.9,36.4,6.4,6.1,6.7,12.6,12.6,12.6,7.3,6.5,8.2,14.9,14.7,15.2,5.4,5.2,5.5,1.7,2.2,1.3,0.8,1.2,0.5,85.4,84.4,86.3,22.9,23.3,22.5,91.4,89.7,93.2,91.7,89.6,93.7,87.4,86.5,88.3,69.2,67.4,70.5,22.9,20.3,25.3,23.9,21.8,26.0,26.4,27.7,25.1,15.6,19.3,13.0
001,Total population,0500000US23001,23001,"Androscoggin County, Maine",9492,4693,4799,1858,1045,813,3516,1814,1702,3642,1648,1994,476,186,290,69560,33036,36524,753,335,418,5495,2478,3017,7775,3751,4024,27944,13490,14454,4899,2201,2698,8063,3987,4076,4638,1960,2678,6858,3241,3617,1976,785,1191,854,606,248,305,202,103,100.0,100.0,100.0,1.1,1.0,1.1,7.9,7.5,8.3,11.2,11.4,11.0,40.2,40.8,39.6,7.0,6.7,7.4,11.6,12.1,11.2,6.7,5.9,7.3,9.9,9.8,9.9,2.8,2.4,3.3,1.2,1.8,0.7,0.4,0.6,0.3,79.8,80.1,79.6,14.4,14.6,14.1,89.6,87.9,91.3,89.3,86.4,92.2,82.7,82.7,82.7,55.5,56.6,54.8,15.5,13.5,17.5,16.1,14.3,17.9,16.5,17.7,15.3,8.0,10.2,6.5
001,Total population,0500000US23003,23003,"Aroostook County, Maine",5789,3045,2744,1344,739,605,2080,1214,866,2104,1007,1097,261,85,176,51439,24476,26963,864,532,332,4938,2414,2524,6066,2786,3280,19799,9382,10417,3010,1300,1710,5883,3009,2874,3345,1441,1904,5544,2518,3026,1176,586,590,589,341,248,225,167,58,100.0,100.0,100.0,1.7,2.2,1.2,9.6,9.9,9.4,11.8,11.4,12.2,38.5,38.3,38.6,5.9,5.3,6.3,11.4,12.3,10.7,6.5,5.9,7.1,10.8,10.3,11.2,2.3,2.4,2.2,1.1,1.4,0.9,0.4,0.7,0.2,76.9,76.6,77.2,14.6,14.8,14.5,91.0,91.3,90.7,89.4,86.7,92.1,78.3,78.2,78.4,54.4,52.2,56.0,15.8,13.7,17.7,15.4,13.2,17.5,17.2,19.0,15.5,9.3,9.7,9.1
001,Total population,0500000US23005,23005,"Cumberland County, Maine",22426,11387,11039,4316,2485,1831,6584,3676,2908,9447,4387,5060,2079,839,1240,181276,85199,96077,1301,653,648,4384,2288,2096,12215,6076,6139,51093,23164,27929,11434,5275,6159,23929,11355,12574,14852,6307,8545,39373,18253,21120,15414,7198,8216,5422,3474,1948,1859,1156,703,100.0,100.0,100.0,0.7,0.8,0.7,2.4,2.7,2.2,6.7,7.1,6.4,28.2,27.2,29.1,6.3,6.2,6.4,13.2,13.3,13.1,8.2,7.4,8.9,21.7,21.4,22.0,8.5,8.4,8.6,3.0,4.1,2.0,1.0,1.4,0.7,90.1,89.4,90.8,34.2,35.3,33.3,93.9,92.9,94.9,93.9,93.0,94.7,91.9,90.8,93.0,78.1,76.4,79.3,36.1,33.2,38.9,38.1,35.8,40.1,37.3,39.5,35.3,21.8,28.0,17.7
001,Total population,0500000US23007,23007,"Franklin County, Maine",3234,1361,1873,467,278,189,912,392,520,1619,621,998,236,70,166,19260,9252,10008,168,98,70,878,456,422,1799,954,845,7901,3879,4022,1094,470,624,2294,1081,1213,1105,376,729,2759,1236,1523,779,403,376,283,161,122,200,138,62,100.0,100.0,100.0,0.9,1.1,0.7,4.6,4.9,4.2,9.3,10.3,8.4,41.0,41.9,40.2,5.7,5.1,6.2,11.9,11.7,12.1,5.7,4.1,7.3,14.3,13.4,15.2,4.0,4.4,3.8,1.5,1.7,1.2,1.0,1.5,0.6,85.2,83.7,86.6,20.9,20.9,20.8,92.3,91.0,93.5,91.4,88.3,94.4,87.7,87.2,88.1,69.0,63.9,72.6,20.3,19.9,20.7,19.1,17.0,21.2,25.3,25.9,24.6,15.6,16.8,14.8
001,Total population,0500000US23009,23009,"Hancock County, Maine",3810,2076,1734,845,459,386,1169,631,538,1599,872,727,197,114,83,36416,17229,19187,115,77,38,1220,722,498,3121,1620,1501,12539,5898,6641,2135,938,1197,4964,2278,2686,2444,1079,1365,6213,2779,3434,2434,1033,1401,692,408,284,539,397,142,100.0,100.0,100.0,0.3,0.4,0.2,3.4,4.2,2.6,8.6,9.4,7.8,34.4,34.2,34.6,5.9,5.4,6.2,13.6,13.2,14.0,6.7,6.3,7.1,17.1,16.1,17.9,6.7,6.0,7.3,1.9,2.4,1.5,1.5,2.3,0.7,87.8,86.0,89.4,27.1,26.8,27.4,92.7,91.0,94.2,91.7,88.5,94.6,89.0,87.7,90.4,78.2,75.5,80.1,24.6,22.1,26.9,24.5,21.7,27.2,32.4,31.3,33.5,22.7,27.9,18.9
001,Total population,0500000US23011,23011,"Kennebec County, Maine",9808,4925,4883,2046,1214,832,3424,1767,1657,3812,1780,2032,526,164,362,79362,37417,41945,513,231,282,4015,2059,1956,7183,3551,3632,29882,13911,15971,5196,2185,3011,9947,4702,5245,6224,2506,3718,10397,5098,5299,3911,1917,1994,1470,816,654,624,441,183,100.0,100.0,100.0,0.6,0.6,0.7,5.1,5.5,4.7,9.1,9.5,8.7,37.7,37.2,38.1,6.5,5.8,7.2,12.5,12.6,12.5,7.8,6.7,8.9,13.1,13.6,12.6,4.9,5.1,4.8,1.9,2.2,1.6,0.8,1.2,0.4,85.2,84.4,86.0,20.7,22.1,19.4,91.0,88.7,93.2,92.4,90.6,94.1,88.3,87.8,88.8,66.7,64.3,68.4,17.8,16.7,18.9,21.1,20.0,22.2,26.1,28.7,23.6,13.0,16.7,10.4
001,Total population,0500000US23013,23013,"Knox County, Maine",2451,1257,1194,709,409,300,1078,579,499,510,211,299,154,58,96,28303,13531,14772,145,103,42,856,491,365,2544,1417,1127,10306,5054,5252,1746,727,1019,3607,1545,2062,1676,644,1032,4833,2128,2705,1776,902,874,560,361,199,254,159,95,100.0,100.0,100.0,0.5,0.8,0.3,3.0,3.6,2.5,9.0,10.5,7.6,36.4,37.4,35.6,6.2,5.4,6.9,12.7,11.4,14.0,5.9,4.8,7.0,17.1,15.7,18.3,6.3,6.7,5.9,2.0,2.7,1.3,0.9,1.2,0.6,87.5,85.1,89.6,26.2,26.2,26.2,90.5,87.0,94.2,90.9,87.4,94.4,90.0,87.4,92.5,78.4,77.1,79.4,19.4,16.3,22.7,23.4,20.4,26.4,30.6,31.7,29.6,26.6,31.0,23.5
001,Total population,0500000US23015,23015,"Lincoln County, Maine",1935,989,946,637,343,294,734,408,326,392,173,219,172,65,107,24094,11504,12590,132,60,72,710,467,243,2065,1163,902,8460,3991,4469,1450,633,817,3282,1455,1827,1583,628,955,4062,1916,2146,1636,777,859,480,256,224,234,158,76,100.0,100.0,100.0,0.5,0.5,0.6,2.9,4.1,1.9,8.6,10.1,7.2,35.1,34.7,35.5,6.0,5.5,6.5,13.6,12.6,14.5,6.6,5.5,7.6,16.9,16.7,17.0,6.8,6.8,6.8,2.0,2.2,1.8,1.0,1.4,0.6,87.9,85.3,90.3,26.6,27.0,26.3,89.4,86.1,92.5,92.7,90.0,95.2,89.9,87.3,92.5,80.0,77.1,82.4,18.9,15.2,22.3,22.9,20.4,25.4,33.1,33.5,32.7,24.0,29.2,19.9
